record_id,horse_id,horse_name,date,mode,time1,time2,time3,time4,fall_time,rank
1,2,Lisa,2026-05-05 21:28:51,test,3.788,,,,,
2,2,Lisa,2026-05-05 21:29:06,test,2.819,,,,,
3,1,John,2026-05-05 21:29:43,test,3.863,,,,,
4,1,John,2026-05-05 21:29:56,test,3.330,,,,,
5,1,John,2026-05-05 21:32:09,race,11.019,16.059,22.152,,,1
6,2,Lisa,2026-05-05 21:32:35,race,,,,,3.760,4
7,3,Ashley,2026-05-05 21:35:16,test,9.760,,,,,
8,3,Ashley,2026-05-05 21:35:35,test,7.552,,,,,
9,4,James,2026-05-05 21:36:09,test,3.774,,,,,
10,4,James,2026-05-05 21:36:25,test,4.539,,,,,
11,4,James,2026-05-05 21:36:36,test,4.484,,,,,
12,4,James,2026-05-05 21:36:49,test,3.862,,,,,
13,4,James,2026-05-05 21:37:00,test,3.900,,,,,
14,5,Michael,2026-05-05 21:37:32,test,3.661,,,,,
15,5,Michael,2026-05-05 21:37:49,test,3.296,,,,,
16,5,Michael,2026-05-05 21:38:00,race,,,,,0.000,2
17,6,William,2026-05-05 21:38:41,test,5.118,,,,,
18,6,William,2026-05-05 21:38:57,test,5.609,,,,,
19,7,Sarah,2026-05-05 21:41:23,test,4.694,,,,,
20,7,Sarah,2026-05-05 21:41:41,test,6.604,,,,,
21,7,Sarah,2026-05-05 21:41:55,test,4.074,,,,,
22,8,Ethan,2026-05-05 21:42:33,test,7.493,,,,,
23,8,Ethan,2026-05-05 21:42:53,test,9.705,,,,,
24,9,Peter,2026-05-05 21:46:59,test,10.000,,,,,
25,9,Peter,2026-05-05 21:47:14,test,10.000,,,,,
26,10,Jimmy,2026-05-05 21:47:49,test,4.219,,,,,
27,10,Jimmy,2026-05-05 21:48:00,test,3.776,,,,,
28,10,Jimmy,2026-05-05 21:48:10,test,3.988,,,,,
29,10,Jimmy,2026-05-05 21:48:22,test,4.522,,,,,
30,11,Jeremy,2026-05-05 21:48:56,test,4.654,,,,,
31,11,Jeremy,2026-05-05 21:49:08,test,5.077,,,,,
32,11,Jeremy,2026-05-05 21:49:20,test,5.458,,,,,
33,11,Jeremy,2026-05-05 21:49:53,test,13.111,,,,,
34,1,John,2026-05-05 21:59:01,race,10.130,14.729,19.474,,,1
35,4,James,2026-05-05 21:59:51,race,12.263,20.959,33.574,,,5
36,5,Michael,2026-05-05 22:00:19,race,,,,,9.584,2
37,7,Sarah,2026-05-05 22:01:20,race,15.856,23.838,39.335,,,3
38,10,Jimmy,2026-05-05 22:03:10,race,10.000,15.000,19.742,,,1
39,11,Jeremy,2026-05-05 22:04:07,race,11.635,17.565,23.261,,,1
40,15,Nichole,2026-05-05 22:12:54,test,4.302,,,,,
41,15,Nichole,2026-05-05 22:13:11,test,,,,,,
42,15,Nichole,2026-05-05 22:13:26,test,4.741,,,,,
43,15,Nichole,2026-05-05 22:14:51,test,100.000,,,,,
44,17,Raven,2026-05-05 22:15:10,test,100.000,,,,,
45,12,Ernest,2026-05-05 22:16:30,test,5.343,,,,,
46,12,Ernest,2026-05-05 22:16:43,test,6.671,,,,,
47,13,Eric,2026-05-05 22:17:00,test,4.630,,,,,
48,13,Eric,2026-05-05 22:17:10,test,4.849,,,,,
49,1,John,2026-05-05 22:20:43,race,,,,,8.883,5
50,10,Jimmy,2026-05-05 22:21:17,race,,,,,10.806,2
51,11,Jeremy,2026-05-05 22:22:16,race,14.101,22.519,31.974,,,2
52,12,Ernest,2026-05-05 22:23:10,race,12.234,21.215,28.787,,,1
53,13,Eric,2026-05-05 22:24:05,race,13.920,26.436,34.649,,,1
54,10,Jimmy,2026-05-05 22:30:27,race,9.481,14.851,21.262,,,2
55,14,Jessica,2026-05-05 22:31:08,race,,,,,,
56,11,Jeremy,2026-05-05 22:36:34,race,8.615,13.439,21.168,,,1
57,12,Ernest,2026-05-05 22:37:13,race,11.934,18.112,25.333,,,1
58,18,Travis,2026-05-05 22:41:11,race,13.219,16.288,22.419,,,2
59,21,Julie,2026-05-05 22:41:36,race,5.005,7.717,10.463,,,1
60,15,Nichole,2026-05-05 22:42:30,race,13.140,22.753,33.486,,,2
61,19,Luis,2026-05-05 22:43:32,race,100.000,,,,,5
62,20,Kayla,2026-05-05 22:45:08,race,100.000,,,,6.586,2
63,22,Steven,2026-05-05 22:54:10,race,7.869,,,,10.171,3
64,10,Jimmy,2026-05-05 22:55:58,race,11.582,16.024,23.569,,,1
65,11,Jeremy,2026-05-05 22:56:45,race,11.733,18.607,25.803,,,3
66,18,Travis,2026-05-05 22:57:56,race,14.245,21.657,28.329,,,1
67,21,Julie,2026-05-05 22:58:33,race,6.573,10.075,13.032,,,1
68,23,Bailey,2026-05-05 22:59:02,race,8.512,12.412,16.810,,,1
69,24,Robert,2026-05-05 22:59:50,race,7.982,14.286,22.617,,,3
70,22,Steven,2026-05-05 23:00:14,race,100.000,,,,5.231,2
71,25,Taylor,2026-05-05 23:08:00,race,14.103,23.138,28.069,,,1
72,26,Rachel,2026-05-05 23:08:19,race,100.000,,,,4.204,2
73,23,Bailey,2026-05-05 23:09:07,race,8.155,12.314,16.230,,,1
74,27,Susan,2026-05-05 23:09:35,race,8.449,12.104,18.361,,,1
75,21,Julie,2026-05-05 23:10:27,race,9.757,12.891,18.878,,,1
76,29,Jason,2026-05-05 23:16:42,race,100.000,,,,4.937,5
77,30,Bit Champer,2026-05-05 23:17:06,race,100.000,,,,10.539,2
78,28,David,2026-05-05 23:27:23,race,11.106,17.539,23.418,,,2
79,33,Linda,2026-05-05 23:34:06,race,15.336,,,,19.985,2
80,32,Tracy,2026-05-05 23:35:43,race,9.162,13.965,17.234,,,2
81,34,Lucas,2026-05-06 00:34:18,race,5.191,9.117,11.341,,,1
82,35,Manuel,2026-05-06 00:35:30,race,5.957,12.826,17.516,,,1
